Реестровый номер закупки,Наименование закупки,Идентификационный код закупки,Начальная (максимальная) цена контракта
№0344300052725000109,"Система ультразвуковой визуализации ручная, для поверхности тела",'252462904029146320100102750020000244',1000000.0
№0358300147425000015,Стеллаж складской металлический,'253610201909761020100100190080000244',73815.0
№0872600000825000022,Выполнение работ по демонтажу элементов благоустройства на территории МО Коломяги ,'253781477084478140100100400014311244',512828.56
№32515152907,"Выполнение работ по подготовке проектной документации и выполнению инженерных изысканий, выполнение строительно-монтажных работ по строительству объекта капитального строительства: «Общеобразовательная школа на 2100 мест в мкр. «Ореховая сопка» г.Хабаровска»",,5594080000.0
№0356200001825000331,Поставка медицинских расходных материалов для  эндоваскулярной хирургии (РХМДЛ) №1.15,'252590229228759040100104320010000244',2995500.0
№0111300010725000052,Поставка бензина автомобильного(АИ-92) для нужд Совета Камско-Устьинского муниципального района,'253162200451716220100100100011920244',264825.0
№0813500000125017044,зз-0014-37877 - 2025 Поставка расходных материалов для химико-токсикологических исследований в рамках реализации мероприятий по противодействию злоупотреблению наркотиками и их незаконному обороту в Удмуртской Республике,'252183104497918410100101130020000244',60176.5
№0134200000125004436,Поставка продуктов питания (овощи),'252381201469038120100101020020113244',2202000.0
№0340200003325012165,Поставка средств индивидуальной защиты,'252434702481643450100100200060000244',18635.0
№0348200068125000113,Поставка препаратов диагностических для пренатального скрининга (лот 2) для нужд учреждений здравоохранения Московской области в 2026 году (Совместная закупка),"252500104093650010100102530012120244, 252770904128977090100101860032120244",23785781.25
№0190200000325011250,Оказание услуг по доработке Сервиса доступа к электронным копиям аудиовизуальных документов и печатных изданий,'252890101737189010100100090016201244',477000.0
№0878500000225001347,Выполнение авиационных работ в целях оказания медицинской помощи,'252790100900179010100100010095223244',15057359.52
№0134200000125004387,Оказание услуг по техническому обслуживанию и ремонту лифтов,'252381103149238110100103830014329244',2452800.0
№0134200000125004420,Поставка продуктов питания (хлебобулочные изделия),'252381102909138110100105720011071244',5120080.0
№0321500002625000068,Поставка автомобильного бензина и дизельного топлива,'252263211769526320100100490011920244',2400000.0
№0134200000125004419,Поставка продуктов питания (птица),'252381102909138110100105710011012244',3443510.0
№0353300011225000031,"Обустройство площадок накопления твердых коммунальных отходов по адресу: Оренбургская область, Гайский муниципальный округ, п.Саверовка, п.Репино, д.Ишкинино.",'253560400858756040100100430014399244',1124430.1
№0335200013625000162,"Услуги по сопровождению баз данных и программных продуктов, разработанных на технологической платформе «1С: Предприятие 8»",'252390501046639060100100090110000244',297000.0
№0162300005325001836,Разработка оригинал-макета и поставка сувенирной продукции (Свитшот с символикой Года Уральского рока),'253667110974466850100100680011419244',960000.0
№0163200000325005266,(3186-эзк) Медицинские изделия,'252673100350567310100100560080000244',52400.0
№0194200000525005203,Поставка фармацевтических препаратов медицинских химических веществ и лекарственных растительных продуктов.,'253200300254620030100100010630000244',999658.59
№0174300001425000034,Поставка подарочной продукции (наборы чая),'253920455549492040100100370011083244',69333.0
№32515210618,Поставка наливного пола Sika,,43530885.4
№0171200001925004036,поставка бумаги для офисной техники,"253760501461176040100100040011712244, 253760501462976040100100020011712244, 253760501473176040100100050011712244, 253760501505176040100100030011712244, 253760501579976040100100100011712244, 253760501582376040100100070011712244, 253760501588776040100100040011712244, 253760501589476040100100080011712244, 253760501605576040100100050011712244, 253760501620076040100100060011712244, 253760501648976040100100080011712244, 253760501709876040100100060011712244, 253760501917676040100100050011712244",373575.7
№0744200000225007615,"Поставка реабилитационного оборудования (спортивный комплекс для сенсомоторной интеграции и нейрокоррекции, комплект оборудования ""Стандартный Дом Совы"" экспертный или эквивалент), необходимый для предоставления услуг по формированию системы комплексной реабилитации и абилитации инвалидов, в том числе детей-инвалидов, приобретаемого в 2025 году Областным казенным учреждением «Курский областной центр психолого-педагогического, медицинского и социального сопровождения»",'252463204912846320100100130023230244',1167183.33
№0156100010825000068,Поставка первичных средств пожаротушения (огнетушителей) для нужд Главного управления МЧС России по Пермскому краю,'251590229344259020100100760012829244',584435.2
№32515163743,"Право заключения договора на выполнение работ по разработке РД, СМР, ПНР, ПО по инв.проекту Техперевооружение ПС 220 кВ Черемшанская в части замены воздушных выключателей на элегазовые 110-220 кВ (10 шт.) ",,337440150.0
№0165300010125000167,"Ремонт системы водоснабжения по адресу: Томская область, Томский район, Турунтаевское СП, д. Халдеево (Станция водоподготовки)",'253701404447370140100100970014322244',4214669.47
№32515210617,Оказание услуг строительными машинами и механизмами,,40380000.0
№32515210616,поставка автомобильного аккумулятора,,8751.73
№0355100010825000029,Поставка машин стиральных,'251631810046358344300100270012751244',45914.66
№0173100001525000072,Поставка легковых автомобилей,'251773017661077300100101050012910244',17460000.0
№32515209070,Поставка крышки из фольги (платинки) для укупорки полипропиленовых стаканов,,691200.0
№0372100033825000650,Предоставление телекоммуникационных услуг связи для нужд ФГБУ «СПб НИИФ» Минздрава России в 2025 году,'251781502228878420100100036500000000',2104800.0
№32515210153,Поставка аккумуляторных батарей для троллейбусов для нужд МП «Химкиэлектротранс» в 2025 году,,3300899.86
№0373400007725001109,Интродьюсер для катетера,'251772843475077280100100022020000244',30006.1
№0317400001025000091,Поставка оборудования электрического осветительного,'251550400264822254300100340020000244',60569.4
№0351200000725001173,Поставка продуктов питания,'252540310615054030100112300021020244',77600.0
№0373200063125000945,Аукцион в электронной форме на поставку медицинского расходного материала (контур дыхательный для новорожденных) для ГБУЗ «ГКБ им. М.П. Кончаловского ДЗМ»,'252773506919277350100109200010000244',2264200.0
№0346300002025000085,Лента ватная,'252481400081848140100101210010000244',3722.4
№0123300008225000428,"Монитор, подключаемый к компьютеру",'253280114069128010100101280270000244',446000.0
№32515208703,на поставку аппарата магнитно-инфракрасного лазерного терапевтического,,98015.0
№0834600007925000114,Поставка бумаги для офисной техники для нужд МКУ «Централизованная бухгалтерия»,'253381401225838140100100080011712244',49780.0
№0165300010525000874,"Приобретение благоустроенного жилого помещения на территории  муниципального образования ""Город Томск"" в целях предоставления детям-сиротам и детям, оставшимся без попечения родителей, а также лицам из их числа.",'253700001683970000100160020836810412',4002874.92
№0358300086525000138,Поставка продуктов питания (говядина охлажденная) для нужд ГБУ РО «ЦРБ» в Сальском районе на 2026 год (для СМП и СОНО).,'252615300742061530100101450010000244',1621168.0
№0891200000625007901,Содержанию и ремонт сетей уличного освещения и объектов электрохозяйства на территории г. Петровск-Забайкальский (00008496-ЭА),'253753100387775310100100230014321244',1000000.0
№0355100010825000030,Поставка бензина автомобильного по топливным картам на АЗС,'251631810046358344300100050031920244',95415.0
№0101500000325000312,"Выполнение работ и оказание услуг, связанных с выполнением инженерных изысканий, подготовкой проектной документации, разработкой рабочей документации, выполнением работ по строительству объекта капитального строительства, поставкой оборудования, необходимого для обеспечения эксплуатации объекта: ""Строительство водопроводных сетей в с. Благовещенка Архангельского района Республики Башкортостан""",'252027897213602780100100500014221414',170000000.0
№32515187933,Поставка фасонных изделий футерованных износостойким вкладышем по заявкам 2026 года ,,0.0
№0373200063125000941,Аукцион в электронной форме на поставку лекарственных средств (Лот С105) в 2025 году для ГБУЗ «ГКБ имени М.П. Кончаловского ДЗМ»  повторно 2,'252773506919277350100109240010000244',981404.36
№0351200000725001123,Поставка медицинских изделий,'252540310615054030100111940011431244',994134.0
№0334200037525000001,Поставка продуктов питания (Мясо говядины (мякоть) для детского питания),'252381300276138130100100170010000244',86760.0
№0356200004225000154,Поставка лекарственного препарата для медицинского применения (Калия хлорид+натрия хлорид),'252590426206259480100101890010000244',382508.7
№0371100009625000027,Поставка офисной мебели(кресла),'251760407192076040100100050010000244',2210100.0
№0335200014925002900,Оказание услуг по техническому обслуживанию магнитно-резонансного томографа Optima MR450w с принадлежностями серийный номер - НМ1794,'252390604084039060100102750023313244',800000.0
№0338300015625000023,Текущий ремонт наружных сетей теплоснабжения,'253410502276041050100100250014322244',3413626.5
№0379200006725000315,Поставка лекарственных препаратов медицинского применения для обеспечения государственных нужд,'252090101697609010100102580012120244',971959.6
№0162300005325001862,"Оказание услуг по организации участия г. Екатеринбурга в онлайн-выставке „Знай наше: Зима 25/26“ и размещению медийной рекламы на сайте для профессионалов туристического бизнеса России ""Profi.Travel""",'253667110974466850100100740017311244',3900000.0
№0373100091425000981,"Поставка блоков питания для светодиодных панелей для нужд ФГБУ ""НМИЦ ТИО им. ак. В.И. Шумакова"" Минздрава России",'251773401280677340100100105640000244',1121690.0
№0311200042925000001,Услуги по организации питания учащихся,'252165102998916510100100070015629244',1443220.24
№32515160473,"Право заключения договора по лоту: «ОКПД2 43.29.11.120 Выполнение комплекса строительно-монтажных работ по теплоизоляции парового котла E-530-13,8-560KT энергоблока №4 и №5 в рамках реализации проекта «Расширение Партизанской ГРЭС»» (Лот № 0385-КС ДОХ-2025-УСГС) ",,395425573.0
№32515210045,Оказание услуг обязательного периодического медицинского осмотра сотрудников МП «Химкиэлектротранс» в 2025 году,,267750.0
№0887200001325000087,Поставка расходных материалов медицинского назначения,'252861701443186170100101300010000244',18560.0
№0348200068125000112,Поставка препаратов диагностических для пренатального скрининга (лот 1) для нужд учреждений здравоохранения Московской области в 2026 году (Совместная закупка),"252500104093650010100102520012120244, 252770904128977090100101950022120244",3191784.75
№32515210614,"Запрос предложений в электронной форме № 381, участниками которого могут быть только субъекты малого и среднего предпринимательства, на право заключения договора возмездного оказания услуг по технической поддержке сайта учебного центра АО «ВВППК»",,218400.0
№32515189780,Поставка устройства секвенирования ДНК по ТУ 9443-005-04699534-2013 с принадлежностями,,10475483.0
№0111300001725000160,Ремонт пешеходного моста через р. Меша в н.п. Тимершик Сабинского муниципального района РТ ,'253163500594116350100100060014213244',1741270.28
№0373100001025000701,Оказание услуг по дезинсекции и дератизации,'251773411103577340100107000028129244',66666.67
№0194200000525005204,Поставка лабораторных средств,'253200300254620030100100020280000244',4838767.02
№0167200003425006614,"Разработка проектной документации на выполнение работ по капитальному ремонту объекта капитального строительства в сфере здравоохранения/Выполнение проектных и изыскательских работ по объекту: «Капитальный ремонт здания патологоанатомического корпуса ГБУЗ ТО «Областная больница № 3» (г.Тобольск) по адресу: Тюменская область, г.Тобольск, 3б микрорайон, д. 30» (противопожарные мероприятия).",'252722300850372060100103650027112243',1279150.0
№0323100005825000053,Музыкальное оборудование,'251280107010928010100101070012640244',168990.0
№32515068614,"Техническое перевооружение системы сбора, обработки информации и управления системы измерений количества и показателей качества нефти № 567 приемо-сдаточного пункта «Лугинецкое»",,43261177.2
№32515210613,Поставка легкового автомобиля,,3519400.0
№0891200000625007910,Поставка лекарственных препаратов (00008505-ЗК),'252753400428375360100104600012120244',423588.5
№0869200000225007758,"на поставку лекарственного препарата для медицинского применения – МИКОФЕНОЛАТА МОФЕТИЛ для оказания отдельным категориям граждан социальной услуги по обеспечению лекарственными препаратами для медицинского применения по рецептам на лекарственные препараты, медицинскими изделиями по рецептам на медицинские изделия, а также специализированными продуктами лечебного питания для детей-инвалидов",'252745313582774530100100334460000000',1201650.0
№0817200000325014179,Оказание услуг по проведению  контроля за выполнением работ по дооснащению пункта управления обеспечения транспортной безопасности инженерно-техническими средствами (системами) обеспечения транспортной безопасности на категорированном объекте транспортной инфраструктуры: Мост через реку Алей км 9+458 на а/д Поспелиха – Курья – Третьяково – граница Республики Казахстан,'252222507933122250100102820017112244',821352.0
№0356500001425007712,"Установка остановочного павильона в р.п. Октябрьский, ул. Трактовая",'253595189916259510100100920010000244',1043561.42
№0851200000625006498,Оказание услуг проведения групповой консультации по профессиональной ориентации безработных граждан.,'252543314218854060100100970018541244',45816.67
№0813500000125017152,зз-0015-38029 - 2025 Нефтепродукты,'253183000305618390100100470011920000',4000000.0
№0131200001025007751,2025-08111 - Поставка лекарственного препарата для медицинского применения Инклисиран,'252366615952936640100106030012120323',1141689.9
№0373200041525001216,"Поставка кронштейнов для бытовой техники в ГБУ Социальный дом ""Ярославский""",'252770182732077090100112340010000244',110463.0
№0387200009125004465,"Поставка лекарственных препаратов для медицинского применения для обеспечения отдельных категорий граждан, проживающих на территории Ханты-Мансийского автономного округа – Югры, включенных в региональный сегмент Федерального регистра лиц, за счет средств, предоставляемых из федерального бюджета бюджетам субъектов РФ на реализацию отдельных полномочий в области оказания государственной социальной помощи в 2026 году.",'252860103583886020100101370992120323',204934.0
№0165300010525000876,Поставка наборов шоколадных конфет для проведения социально-значимых мероприятий на территории Кировского района Города Томска,'253701713107570170100100370011082244',190303.12
№0340200003325012164,Поставка дозаторов жидких средств бытовых,'252434603535743450100100420020000244',11400.0
№0820500000825005475,"Перчатки смотровые/процедурные нитриловые, неопудренные, нестерильные",'252253900999125390100100070720000244',428350.0
№0711200011025000635,Микрокатетер для периферических/коронарных сосудов,'252165901366016590100101180460000244',172000.0
№0187500000425000225,Поставка канцелярских товаров.,'252860107366486010100101420010000244',703483.97
№0348100047925000032,"Поставка оборудования (высокоэффективного жидкостного хроматографа) за счет субсидии в целях приобретения и создания объектов особо ценного движимого имущества в части оборудования, включая создание уникальных научных установок",'251505000707150500100100410012660244',15000000.0
№0128200000125005176,Разработка региональной программы Владимирской области по переходу к экономике замкнутого цикла,'252332902560733270100100120017490244',4500000.0
№0187200001725001516,Поставка жилого помещения (квартиры),'252860100391786010100100446426810412',5249412.0
№0302300046425000054,Поставка штативов,'252031100025003110100100900013250244',104406.4
№0848500004125000143,Услуги по аренде легковых автомобилей с водителем для нужд ГКУ МО «ДЕЗ по ремонтным работам»,'252502419960250240100102420014932244',3074400.0
№32515172290,Выполнение работ по капитальному ремонту двойного лестничного схода вблизи Корпуса №2,,9312996.32
№0312200008425000044,Краска на основе акриловых или виниловых полимеров в водной среде,'252170102958517010100100270450000244',82668.0
№0162300005325001863,Оказание услуг по организации участия Туристско-информационного центра в выставке «EXPOTRAVEL-2025»,'253667110974466850100100730019329244',446000.0
№32515210609,ОКПД2 [27.32.1] Поставка кабельной продукции для нужд Дагестанского филиала АО «Гидроремонт-ВКК» в г. Махачкала (Лот № 0005-ЭКСП ДОХ-2025-ГРВКК-ДагФ),,916255.6
№0869200000225007795,"Поставка  мяса крупного рогатого скота (говядина) замороженное, в том числе  для детского питания",'252743800782074600100100140011011244',310002.0
№0315100001125000032,"Закупка товаров, работ, услуг в целях капитального ремонта государственного (муниципального) имущества - по капитальному ремонту - замена дверей и окон ФКПОУ №115, столовой для спецконтингента, производственной зоны, котельной, кинологического городка",'251212200368321220100100380014332243',2664057.48
№0373200063125000946,Электронный запрос котировок на поставку лекарственных средств (Лот С103) в 2025 году для ГБУЗ «ГКБ имени М.П. Кончаловского ДЗМ» повторно 2,'252773506919277350100109160010000244',140000.0
№0373400007725001093,Поставку изделий медицинского назначения: пробирки вакуумные для отделения КЛД ФГБУ ФЦМН ФМБА России в 2025 году,'251772843475077280100100049570000244',296200.0
№0848300048425000292,Поставка оборудования для  аварийно-восстановительных бригад,'253500300281650030100100090010000000',1345835.93
№0131200001025007510,2025-08326_Услуги связи,'252361300145736130100100200030000244',304020.0
№32515210608,Поставка сувенирной продукции,,336434.1
№0322200009325000191,"Поставка медицинских изделий: стекло предметное и (или) слайд для микроскопии ИВД, одноразового использования",'252270201515327210100102550013250244',156735.0
№32515208291,"Выполнение работ по ремонту кровли здания МАДОУ ""ДС № 15 г. Благовещенска"" по адресу: ул. Амурская, д. 132, включая ремонт пристроек № 1, № 2",,996167.01
№0815500000525012328,"Оказание услуг по проведению строительного контроля на объекте: ""Расходы на мероприятия по повышению уровня обустройства автомобильных дорог регионального и межмуниципального значения. Устройство искусственного освещения и тротуаров на участках км 0+000 – км 0+445 (н.п. Аликово), км 3+918 (автобусная остановка), км 6+306 (автобусная остановка), км 9+772 (автобусная остановка), км 13+260 - км 15+825 (н.п. Большая Выла), км 16+674 - км 18+925 (н.п. Сириккасы) автомобильной дороги Аликово - Старые Атаи"" - а.д. ""Сура"" в Аликовском районе Чувашской Республики"" (1 этап).",'252213002412621300100101180017112414',2919622.0
№0373100042425000458,"Оказание услуг рамках организации и проведения V Всероссийского военно-спортивного фестиваля имени генералиссимуса А.В. Суворова юноши, девушки 14-17 лет",'251770924989777090100100040369319244',808725.7
№0301300015925000086,Поставка печатной продукции,'253027506235402750100101920010000244',265840.0
№0815500000525012327,Поставка лекарственного препарата для медицинского применения ГАНИРЕЛИКС,'252212804144521300100103040012120244',504815.0
№32515210607,Поставка потребителю тепловой энергии и теплоносителя,,21819822.25
№0131200001025007520,2025-07685_Оснащение врачебной амбулатории с. Староникольское,'252363100251036310100100340040000244',18810.0
№0312200008425000043,Электрокипятильник,'252170102958517010100100270440000244',472000.0
№0891200000625007900,Приобретение хозяйственных материалов (мешки полимерные) (00008504-ЭА),'252753612058175360100101970012222244',196080.96
№0158100014425000047,"Поставка запасных частей, расходных материалов к служебным транспортным средствам (автомобильные шины)",'251616404555561640100100010022211244',103306.48
№0194200000525005191,Поставка продуктов питания,'252200400620820140100100020010000244',158589.79
№32515210605,81-ЗК/25 Оказание услуг по проведению технической экспертизы оборудования для нужд ФГБОУ ВО СтГМУ Минздрава России,,185800.0
№0152300011925001152,Выполнение работ по текущему ремонту системы отопления (замене металлических стояков) (Реестровый номер 53.1151.25),'253550303724655030100100930014322244',779910.2
№0187300019425000121,Выполнение работ по замене кровельного ограждения,'253861200270786120100100580014329244',1218751.88
№32515210604,Поставка щебня,,599850.0
№0848300058925000167,"Работы по благоустройству территории, прилегающей к Муниципальному бюджетному учреждению муниципального образования «Городской округ Королёв Московской области» «Молодежный центр «Космос»",'253501817683050180100100860014299244',5000000.0
№0340200003325012163,Поставка запасных частей для автомобилей УАЗ,'252434601336043450100100290230000244',5000000.0
№0158200001325001348,"Закупка реагентов, наборов реагентов, тест-систем, расходных материалов для выявления и мониторинга эффективности лечения лиц, инфицированных вирусами иммунодефицита человека, гепатитов В и С, ассоциированными заболеваниями с синдромом приобретенного иммунодефицита",'252616304981461660100101120033250244',222054.44
№0322200005225000441,Термопринтер,'252272200969427220100100520340000244',407980.73
№32515209055,Поставка центрифуги лабораторной,,199385.0
№32515210220,Благоустройство территории поля для мини-футбола в п. Краснофлотское Зеленоградского района Калининградской области,,2993038.92
№0356500001425007711,"Оказание услуг по проведению оценки рыночной стоимости земельных участков, право требования возмещения убытков, причиняемых при изъятии земельных участков, подлежащих изъятию для муниципальных нужд",'253594806648159480100100850010000244',110000.0
№0162300005325001835,"Разработка оригинал-макетов и поставка сувенирной продукции (Шапка, шарф с символикой Года Уральского рока)",'253667110974466850100100700011419244',825000.0
№0369200027025000019,Многофункциональное устройство (МФУ),'252745302530274530100100400010000242',53566.67
№0366200035625006873,"Выполнение работ по ремонту  защитных сооружений гражданской обороны расположенного по адресу: г. Алексин, ул. Баумана, д. 4",'253711101967371110100101480024339244',1480989.38
№0321300016825000234,Предоставление мер социальной поддержки детям в возрасте до трех лет в виде бесплатного обеспечения лекарственными препаратами по рецептам врачей (фельдшеров),'252261801070326180100101340050000323',151000.0
№32515207677,"Оказание услуг по продлению простой (неисключительной) лицензии на Программу для ЭВМ «1С-Битрикс24». Профессиональный (продление, 12 мес.) ",,134280.0
№0811300008325000637,Монтаж системы оповещения и управления эвакуацией людей при пожаре в учреждении молодежной политики г.Казани,'253165537158316550100100340014321244',2143299.52
№0801500001125001460,Содержание мостов и путепроводов на автомобильных дорогах Республики Башкортостан,'252027416293402740100101750014211244',13718571.0
№32515209053,Поставка автономного вытяжного шкафа,,369530.11
№0822200001425000018,Поставка многофункциональных устройств (МФУ),'252272121216427210100100330012620242',183798.68
№0128200000125005170,"Поставка товара «Лекарственный препарат для медицинского применения ""ЛАНРЕОТИД""»",'252332900762233290100104540012120244',1622376.0
№0165300010525000870,Содержание территории кладбищ в муниципальном образовании «Город Томск».,'253701800637370170100100150018129244',3160460.0
№0869200000225007761,на поставку лекарственного препарата для медицинского применения – ИММУНОГЛОБУЛИН ЧЕЛОВЕКА НОРМАЛЬНЫЙ для реализации отдельных полномочий в области лекарственного обеспечения,'252745313582774530100100540010000323',16316000.0
№0373200015525000576,Поставка контейнера вакуумного для сбора проб мочи для ГБУЗ «МНПЦ наркологии ДЗМ»,'252772335638677230100106710010000244',792500.0
№0161300003325000105,Приобретение техники для нужд жилищно-коммунального хозяйства,'253651400824965140100100270012910244',13241120.0
№0301000000225000715,Закупка изделий медицинского назначения (Катетер многоцелевой для чрескожного дренирования),'252027401947602740100109130013250244',1851300.0
№0361200015025004826,Оказание услуг по стирке белья,"252650102544865010100102240019601244, 252650102607165010100101140019601244, 252650106867465010100105390019601244, 252650106956565010100101250019601244, 252650107349865010100101240019601244, 252650107458065010100104280019601244, 252650109365665010100100650019601244, 252650113065065010100101280019601244",14971572.0
№0171200001925003836,"Ремонт участка автомобильной дороги д. Сельцо - д. Семенцево на территории Воскресенского сельского поселения Любимского района Ярославской области протяжённостью 0,10км.",'253761800079076180100100390014211244',711133.94
№0891200000625007867,Приобретение продуктов питания (00008502-ЭА),'252752800561075280100101540020000244',102117.5
№0131200001025007639,"2025-08484_Поставка программного обеспечения для обеспечения государственных нужд по строительству объекта: ""Бюджетное учреждение здравоохранения Воронежской области ""Воронежская городская поликлиника № 22"" Поликлиника""",'252366409523836640100104710015829414',2701300.0
№0187300014725001620,Поставка погрузчика ковшового,'253861702401386170100100070030000244',9359810.0
№0830100002325000024,"Выполнение работ по подготовке проектной документации, выполнение инженерных изысканий, выполнение работ по строительству и поставка оборудования по объекту капитального строительства: «Реконструкция 4-го корпуса, включая проектные и изыскательские работы, федерального государственного бюджетного учреждения «Государственный научный центр Российской Федерации – Федеральный медицинский биофизический центр имени А.И. Бурназяна» (г. Москва)» (в рамках государственного оборонного заказа)",'251352401508877090100100270014120413',17914851506.02
№0848600002725000533,Выполнение работ по капитальному ремонту крыши Сельниковского СДК,'253502208826250220100100270014391243',13584537.23
№0128600004225000303,"Оказание услуг по проведению оценки по определению размера возмещения за жилые помещения, подлежащие изъятию у собственников в связи с изъятием земельных участков, на котором расположен многоквартирный дом, признанный аварийным и подлежащим сносу или реконструкции, в котором находится такое жилое помещение, для муниципальных нужд, c учетом требований действующего законодательства",'253330001802933000100100140017490244',108000.0
№32515209819,Оказание информационных услуг с использованием экземпляров ИСС «Техэксперт» для нужд ФБУЗ «Центр гигиены и эпидемиологии в Республике Башкортостан»,,1204536.0
№0373200052725000712,"Поставка световодов для СКП ГБУЗ ""ГКБ имени В.М. Буянова ДЗМ""",'252772459896677240100107060010000244',11750002.5
№0342300029425000031,Лента ватная,'253636600005063660100100090150000244',25494.0
№0869200000225007755,Поставка наборов реагентов ПЦР диагностики,'252745327000874530100100050042120244',2383428.96
№0171200001925004035,поставка бумаги для офисной техники,"253760201746076020100100060011712244, 253760202367176020100100070011712244, 253760202373876020100100040011712244, 253760202375276020100100060011712244, 253760202398576020100100080011712244, 253760202399276020100100060011712244, 253760202419276020100100070011712244, 253760202425976020100100050011712244, 253760202439376020100100050011712244, 253760202455576020100100070011712244",438694.4
№0136300000725000231,Поставка офисной мебели ,'253694901242769490100100330013101244',414615.21
№0342300005525000023,,'252637400005363740100100120130000244',119520.0
№0801500001125001457,Содержание мостов и путепроводов на автомобильных дорогах Республики Башкортостан,'252027416293402740100101720014211244',14705346.0
№0356200001825000330,Поставка медицинских расходных материалов для ангиопластики (РХМДЛ) №1.14,'252590229228759040100104360010000244',2998000.0
№0320100019025000075,Поставка расходного медицинского материала  (Латекс),'251253900811625080200100020260000244',2462778.0
№32515209817,Приобретение неисключительного права на использование программного обеспечения Kaspersky Endpoint Security для бизнеса - Расширенный Russian Edition и Kaspersky Security для виртуальных и облачных сред,,445711.09
№0744200000225007413,"Поставка медицинских изделий - чехол защитный для инвазивного датчика ультразвуковой визуализации, стандартный, нестерильный",'252463228633746320100103870012660244',45073.0
№0373100001025000700,Поставка комплектующих для монтажа кондиционеров,'251773411103577340100107180010000244',188229.33
№0387200000325000220,Поставка продуктов питания (мука пшеничная),'252860200080686020100102680011061244',123432.51
№0162300005325001842,"Разработка оригинал-макетов и поставка сувенирной продукции (Футболка, носки с символикой Года Уральского рока)",'253667110974466850100100690011419244',301100.0
№0373100001025000686,Поставка уплотнений для теплообменника,'251773411103577340100106700012219244',52684.8
№0348300412625000110,Поставка  расходного материала медицинского назначения,'253500302799450030100102470013250244',72732.0
№0891200000625007884,Поставка продуктов питания: минтай (00008492-ЭА),'252800002707880010100100410011020244',23070.0
№0848300044125000166,"Оказание услуг по погрузке, вывозу и утилизации порубочных остатков, растительных остатков на территории городского округа Реутов",'253501204941950410100100840013811244',2900000.0
№0372100033825000629,Поставка ручной системы ультразвуковой визуализации (для поверхности тела) для нужд ФГБУ «СПб НИИФ» Минздрава России в 2025 году (ЛОТ 3),'251781502228878420100100156290000244',642200.0
